8                0.000  0.000
16               0.000  0.000
32               0.001  0.001
64               0.002  0.002
128              0.006  0.004
256              0.012  0.008
512              0.028  0.018
1024             0.060  0.038
2048             0.128  0.083
4096             0.272  0.179
8192             0.592  0.383
16384             1.26  0.815
32768             2.69   1.73
65536             5.64   3.64
131072            11.9   7.67
262144            25.9   16.2
524288            55.0   33.8
1048576            111   70.9
2097152            233    148
4194304            504    311
8388608           1040    648
16777216          2165   1335
