8 0.000            0.000
16 0.001           0.000
32 0.001           0.001
64 0.003           0.002
128 0.006          0.003
256 0.014          0.006
512 0.029          0.012
1024 0.057         0.024
2048 0.114         0.048
4096 0.228         0.095
8192 0.489         0.190
16384 1.00         0.381
32768 2.04         0.761
65536 4.11         1.52
131072 8.18        3.04
262144 17.1        6.09
524288 34.9        12.2
1048576 69.8       24.4
2097152 140        54.2
4194304 269        109
8388608 512        217
16777216 1116      434
